Effector/LABEL,Effector/ID(s),Files,Count_files
sphincter pupillae,UBERON:0001607,Dental_and_Craniofacial_System;Nervous_System,2
styloglossus,UBERON:0001573,Dental_and_Craniofacial_System;Nervous_System,2
stylopharyngeus muscle,UBERON:0008804,Dental_and_Craniofacial_System;Nervous_System,2
sublingual gland,UBERON:0001832,Dental_and_Craniofacial_System;Nervous_System,2
submandibular gland,UBERON:0001736,Dental_and_Craniofacial_System;Nervous_System,2
superior oblique extraocular muscle,UBERON:0006321,Dental_and_Craniofacial_System;Nervous_System,2
superior pharyngeal constrictor,UBERON:0006329,Dental_and_Craniofacial_System;Nervous_System,2
superior rectus extraocular muscle,UBERON:0006323,Dental_and_Craniofacial_System;Nervous_System,2
taste bud,UBERON:0001727,Dental_and_Craniofacial_System;Nervous_System,2
temporalis muscle,UBERON:0001598,Dental_and_Craniofacial_System;Nervous_System,2
temporomandibular joint,UBERON:0003700,Dental_and_Craniofacial_System;Nervous_System,2
trigeminal nerve,UBERON:0001645,Dental_and_Craniofacial_System;Nervous_System,2
trochlear nerve,UBERON:0001644,Dental_and_Craniofacial_System;Nervous_System,2
urinary bladder,UBERON:0001255,Male_Reproductive_System;Nervous_System,2
vagus nerve,UBERON:0001759,Cardiovascular_System;Nervous_System,2
venous system,UBERON:0004582,Cardiovascular_System;Nervous_System,2
vestibular hair cell,CL:0000609,Dental_and_Craniofacial_System;Nervous_System,2
vestibulocochlear nerve,UBERON:0001648,Dental_and_Craniofacial_System;Nervous_System,2
zygomaticus major muscle,UBERON:0008593,Dental_and_Craniofacial_System;Nervous_System,2
