AS_ID,WPP_LABELS,WPP_SOURCES
UBERON:0011388,male bulbospongiosus muscle | penis | perineal muscle,male-reproductive-system-v1
UBERON:0011595,jaw region | masseter muscle | pterygoid muscle | temporalis muscle | temporomandibular joint,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0011818,fascia | myofibroblast cell | superficial fascia,fascia-system-v1.0-draft-20251208
UBERON:0011825,loose connective tissue,fascia-system-v1.0-draft-20251208
UBERON:0011860,collection of collagen fibrils,fascia-system-v1.0-draft-20251208
UBERON:0011900,myofibroblast cell | perimysium,fascia-system-v1.0-draft-20251208
UBERON:0011932,pilosebaceous unit | sebaceous gland | skin of body,integumentary system-v1.0-draft-20260106
UBERON:0012118,infraspinatus tendon,fascia-system-v1.0-draft-20251208
UBERON:0012177,apocrine sweat gland | myoepithelium | skin apocrine gland,integumentary system-v1.0-draft-20260106
UBERON:0012241,male urethra | male urethral meatus,male-reproductive-system-v1
UBERON:0012449,mechanoreceptor | rectum | wall of urinary bladder,nervous-system-v1
UBERON:0012450,Meissner's corpuscle | external ear | lower jaw region | middle ear | skin of forehead | skin of scalp | upper jaw region,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0012456,Merkel nerve ending | external ear | lower jaw region | middle ear | skin of forehead | skin of scalp | upper jaw region,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0013153,arachnoid mater | arachnoid villus,nervous-system-v1
UBERON:0013161,choroid plexus | left lateral ventricle,nervous-system-v1
UBERON:0013162,choroid plexus | right lateral ventricle,nervous-system-v1
UBERON:0013479,lung | lung endothelium,pulmonary-system-v1.0-draft-20251110
UBERON:0013489,superficial cervical fascia,fascia-system-v1.0-draft-20251208
UBERON:0014931,lymph node | periungual skin,integumentary system-v1.0-draft-20260106
UBERON:0015233,nucleus of dorsal thalamus | ventral lateral nucleus of thalamus,nervous-system-v1
UBERON:0015704,arterial system | sagittal sinus | superior sagittal sinus,cardiovascular-system-v1 | nervous-system-v1
UBERON:0015717,ejaculatory duct | smooth muscle tissue layer of ejaculatory duct,male-reproductive-system-v1
UBERON:0016475,Meissner's corpuscle | Merkel nerve ending | skin of forehead,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0016890,hepatic portal system | intrahepatic branch of portal vein,cardiovascular-system-v1
UBERON:0018112,rectum | rectum smooth muscle tissue,nervous-system-v1
UBERON:0018391,carotid body | chemoreceptor,nervous-system-v1
UBERON:0018649,cardiac Purkinje fiber | cardiac muscle tissue of ventricle | heart,cardiovascular-system-v1
UBERON:0035017,dentition | dermis | nociceptor nerve ending | oropharynx,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:0035018,dermis | thermoreceptor,nervous-system-v1
UBERON:0035198,skin of body | superficial lymphatic vessel,integumentary system-v1.0-draft-20260106
UBERON:0035428,postcapillary venule,integumentary system-v1.0-draft-20260106
UBERON:0037462,hair follicle | vellus hair,integumentary system-v1.0-draft-20260106
UBERON:0037466,hair follicle | telogen hair,integumentary system-v1.0-draft-20260106
UBERON:0037467,anagen hair | hair follicle,integumentary system-v1.0-draft-20260106
UBERON:0039228,hepatic portal system | sigmoid vein,cardiovascular-system-v1
UBERON:0039422,deep dorsal vein of penis | dorsal vein of penis,male-reproductive-system-v1
UBERON:3010202,sebaceous gland | tail base gland,integumentary system-v1.0-draft-20260106
UBERON:3010770,dorsal sympathetic chain,integumentary system-v1.0-draft-20260106
UBERON:8300000,Meissner's corpuscle | Merkel nerve ending | skin of scalp,dental-and-craniofacial-system-v1 | nervous-system-v1
UBERON:8410007,myenteric nerve plexus | myenteric nerve plexus of anorectum,nervous-system-v1
UBERON:8410069,immune system | lymphoid nodule,immune and lymphatic system-v1.0-draft-20260106
UBERON:8420000,hair of scalp,integumentary system-v1.0-draft-20260106
UBERON:8480001,capillary of brain | vasculature of brain,nervous-system-v1
UBERON:8600024,pulmonary venule | venous system,cardiovascular-system-v1
UBERON:8920045,arterial system | right gastric artery,cardiovascular-system-v1
UBERON:8920047,left gastroepiploic vein | portal venous system,cardiovascular-system-v1
UBERON:8920048,portal venous system | right gastroepiploic vein,cardiovascular-system-v1
