Whole Person Physiome Table for Digestive System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rebecca Wells,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6988-4102,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Yamada’s Textbook of Gastroenterology (7e, 2022)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Maintain epithelial polarity and barrier integrity,establishment or maintenance of cell polarity,GO:0007163,Protection against shear stress by Secreted mucins,response to fluid shear stress,GO:0034405,,,,,,,,,,,,,,Meanical barrier formation,Organ system,"GI tract(mouth to anus), especially Gut",digestive tract,UBERON:0001555,"GI tract(mouth to anus), especially Gut",digestive tract,UBERON:0001555,,does,X protection of Y,Epithelial surface,Shear stress,,,Systemic,minutes,Endoscopic mucosal integrity assessment,,,,,,,,,,,,Mucin–epithelium interaction,mucus secretion,GO:0070254,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,2,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Maintain epithelial polarity and barrier integrity,establishment or maintenance of cell polarity,GO:0007163,Protection against emical damage by Secreted mucins,,,,,,,,,,,,,,,,emical barrier formation,Organ system,"GI tract(mouth to anus), especially Gut",digestive tract,UBERON:0001555,"GI tract(mouth to anus), especially Gut",digestive tract,UBERON:0001555,,does,X protection of Y,Epithelial surface,emical damage,,,Systemic,minutes,Fecal occult blood test,Occult blood panel - Stool by Immunoassay,57803-9,,,,,,,,,,Mucin–emical interface interaction,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,2,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Selective absorption and secretion,intestinal absorption,GO:0050892,,,,,,,,,,,,,,,,,Vectorial solute and water transport: Na⁺/glucose cotransport (SGLT1),Cell,Intestine,intestine,UBERON:0000160,Absorptive enterocyte,enterocyte of epithelium of large intestine,CL:0002071,,does,X cotransport with Y,SGLT1,glucose,,,Cellular,Seconds-minutes,Glucose uptake rate,,, ion flux,,,,,,,,,SGLT1-NHE3-MLCK feedback coupling,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Selective absorption and secretion,intestinal absorption,GO:0050892,,,,,,,,,,,,,,,,,Vectorial solute and water transport: Na⁺/K⁺-ATPase gradient maintenance,Cell,Intestine,intestine,UBERON:0000160,Absorptive enterocyte,enterocyte of epithelium of large intestine,CL:0002071,,does,X maintenance,Na⁺/K⁺-ATPase gradient,,,,Organ (intra-organ),Seconds-minutes,Glucose uptake rate,,, ion flux,,,,,,,,,SGLT1-NHE3-MLCK feedback coupling,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Selective absorption and secretion,intestinal absorption,GO:0050892,,,,,,,,,,,,,,,,,Vectorial solute and water transport: GLUT2-mediated basolateral export,Cell,Intestine,intestine,UBERON:0000160,Absorptive enterocyte,enterocyte of epithelium of large intestine,CL:0002071,,does,X transport to Y,glucose,lumen,,,Cellular,Seconds-minutes,Glucose uptake rate,,, ion flux,,,,,,,,,SGLT1-NHE3-MLCK feedback coupling,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Mucosal defense and lubrication,mucosal tolerance induction,GO:0002427,,,,,,,,,,,,,,,,,Mucin and antimicrobial secretion: Goblet cells → MUC2 secretion,Tissue,Intestine,intestine,UBERON:0000160,Goblet cell,goblet cell,CL:0000160,,does,X release to Y,MUC2,lumen,,,Segmental (intra-organ),Minutes-hours,MUC2/MUC5AC assay,,,,,,,,,,,,Microbiota-epithelial immune balance,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Mucosal defense and lubrication,mucosal tolerance induction,GO:0002427,,,,,,,,,,,,,,,,,Mucin and antimicrobial secretion: CFTR/SLC26A3 → mucus hydration,Tissue,Intestine,intestine,UBERON:0000160,Goblet cell,goblet cell,CL:0000160,,does,Induction of X,mucus hydration,,,,Segmental (intra-organ),Minutes-hours,MUC2/MUC5AC assay,,,,,,,,,,,,Microbiota-epithelial immune balance,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Mucosal defense and lubrication,mucosal tolerance induction,GO:0002427,,,,,,,,,,,,,,,,,"Mucin and antimicrobial secretion: Paneth cells → defensins, lysozyme",Tissue,Intestine,intestine,UBERON:0000160,Goblet cell,goblet cell,CL:0000160,,does,X release,"defensins, lysozyme",,,,Segmental (intra-organ),Minutes-hours,MUC2/MUC5AC assay,,,,,,,,,,,,Microbiota-epithelial immune balance,,,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Barrier regulation and permeability control,regulation of cell junction assembly,GO:1901888,,,,,,,,,,,,,,,,,Tight junction modulation by MLCK and cytokines: MLCK → MLC phosphorylation,Tissue,Intestine,intestine,UBERON:0000160,Enterocyte,enterocyte,CL:0000584,,does,Induction of X,MLCK/MLC phosphorylation,,,,Molecular,Minutes-hours,Phospho-MLC," (research Western-blot/IHC marker, not a standard clinical analyte)",, TER change,,,,,,,,,"TNF, IL-13, IL-22 cytokine signaling",tumor necrosis factor-mediated signaling pathway,GO:0033209,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
Digestive system,digestive system process,GO:0022602,Epithelia and GI Function,digestive tract morphogenesis,GO:0048546,Barrier regulation and permeability control,regulation of cell junction assembly,GO:1901888,,,,,,,,,,,,,,,,,Tight junction modulation by MLCK and cytokines: Occludin endocytosis,Tissue,Intestine,intestine,UBERON:0000160,Enterocyte,enterocyte,CL:0000584,,does,X transport to Y,Occludin,cell,,,Segmental (intra-organ),Minutes-hours,Phospho-MLC," (research Western-blot/IHC marker, not a standard clinical analyte)",, TER change,,,,,,,,,"TNF, IL-13, IL-22 cytokine signaling",tumor necrosis factor-mediated signaling pathway,GO:0033209,,,,,,,,,,Yamada’s Textbook of Gastroenterology ,ISBN 9781119600206,15,,,,,,,,,
