"id","label"
"UBERON:0009048","deep external pudendal vein"
"UBERON:0009049","superficial external pudendal vein"
"UBERON:0009091","ascending vasa recta"
"UBERON:0009202","descending vasa recta"
"UBERON:0009654","alveolar artery"
"UBERON:0009687","middle cardiac vein"
"UBERON:0009688","posterior inferior cerebellar artery"
"UBERON:0009689","anterior inferior cerebellar artery"
"UBERON:0010181","straight venules of kidney"
"UBERON:0010249","posterior meningeal artery"
"UBERON:0010250","middle meningeal artery"
"UBERON:0010251","anterior meningeal artery"
"UBERON:0010373","uncinate process of pancreas"
"UBERON:0010399","spleen trabecular artery"
"UBERON:0010401","spleen central arteriole"
"UBERON:0010408","ocular angle artery"
"UBERON:0010496","teres minor muscle"
"UBERON:0011011","brachioradialis"
"UBERON:0011193","inferior ophthalmic vein"
"UBERON:0011955","left hepatic vein"
"UBERON:0011956","right hepatic vein"
"UBERON:0011957","middle hepatic vein"
"UBERON:0012067","primary bronchiole"
"UBERON:0012173","middle suprarenal artery"
"UBERON:0012187","frontal artery"
"UBERON:0012194","superior intercostal vein"
"UBERON:0012195","left superior intercostal vein"
"UBERON:0012196","right superior intercostal vein"
"UBERON:0012199","posterior intercostal vein"
"UBERON:0012200","anterior intercostal vein"
"UBERON:0012237","superior phrenic vein"
"UBERON:0012255","inferior phrenic artery"
"UBERON:0012318","anterior ethmoidal artery"
"UBERON:0012319","posterior ethmoidal artery"
"UBERON:0012321","deep cervical artery"
"UBERON:0012322","ascending cervical artery"
"UBERON:0013132","penicillar arteriole"
"UBERON:0013133","superior phrenic artery"
"UBERON:0013142","soleal vein"
"UBERON:0013143","gastrocnemius vein"
"UBERON:0001979","venule"
"UBERON:0001981","blood vessel"
"UBERON:0001982","capillary"
"UBERON:0002011","thoracodorsal artery"
"UBERON:0002016","pulmonary vein"
"UBERON:0002040","bronchial artery"
"UBERON:0002056","inferior suprarenal artery"
"UBERON:0002070","superior pancreaticoduodenal artery"
"UBERON:0002078","right cardiac atrium"
"UBERON:0002079","left cardiac atrium"
"UBERON:0002080","heart right ventricle"
"UBERON:0002084","heart left ventricle"
"UBERON:0002088","lateral thoracic vein"
"UBERON:0002089","thoracodorsal vein"
"UBERON:0002106","spleen"
"UBERON:0002107","liver"
"UBERON:0002125","thymus lobule"
"UBERON:0002173","pulmonary alveolar duct"
"UBERON:0002183","lobar bronchus"
"UBERON:0002184","segmental bronchus"
"UBERON:0002187","terminal bronchiole"
"UBERON:0002188","respiratory bronchiole"
"UBERON:0002189","outer cortex of kidney"
"UBERON:0002249","median artery"
"UBERON:0002250","popliteal artery"
"UBERON:0002270","hyaloid artery"
"UBERON:0002299","alveolus of lung"
