"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,the most abundant leukocyte and the shortest-lived; production rises to over 10^11 cells/day in infection,Neutrophils leave the circulation and accumulate at sites of infection or tissue injury,cell,blood,blood,UBERON:0000178,neutrophil,neutrophil,CL:0000775,,,,does,transport of X from Y to Z,neutrophil,,,blood,,,inflamed tissue,,,"[1500, 8000]","units = cells/uL blood; 40-70% of circulating leukocytes; circulating half-life 6-12 h; first cells to arrive, within 1-6 h",hours,,systemic,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,,cell,blood,blood,UBERON:0000178,neutrophil,neutrophil,CL:0000775,CXCL8,,,increases,transport of X from Y to Z,neutrophil,,,blood,,,inflamed tissue,,,,,minutes-hours,paracrine,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,,cell,blood,blood,UBERON:0000178,neutrophil,neutrophil,CL:0000775,complement C5a,,,increases,transport of X from Y to Z,neutrophil,,,blood,,,inflamed tissue,,,,,minutes,circulatory,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,,cell,blood,blood,UBERON:0000178,neutrophil,neutrophil,CL:0000775,bacterial N-formyl peptides,,,increases,transport of X from Y to Z,neutrophil,,,blood,,,inflamed tissue,,,,,minutes,intra-organ,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,Neutrophils engulf microbes into phagosomes for intracellular destruction,cell,immune system,immune system,UBERON:0002405,neutrophil,neutrophil,CL:0000775,,,,does,X uptake,microorganisms,,,,,,,,,,phagosome-lysosome fusion within minutes of engulfment,minutes,,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,,cell,immune system,immune system,UBERON:0002405,neutrophil,neutrophil,CL:0000775,immunoglobulin G,,,increases,X uptake,microorganisms,,,,,,,,,,Fc gamma receptor-mediated; opsonisation raises uptake efficiency by orders of magnitude,minutes,circulatory,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,,cell,immune system,immune system,UBERON:0002405,neutrophil,neutrophil,CL:0000775,complement C3b,,,increases,X uptake,microorganisms,,,,,,,,,,complement receptor 1 and 3 mediated,minutes,circulatory,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
immune system,immune system process,GO:0002376,innate immunity,innate immune response,GO:0045087,phagocyte effector function,leukocyte mediated immunity,GO:0002443,neutrophil recruitment and killing,neutrophil mediated immunity,GO:0002446,,,,,,,,,,,,,,The phagocyte oxidase generates microbicidal reactive oxygen species within the phagolysosome,cell,immune system,immune system,UBERON:0002405,neutrophil,neutrophil,CL:0000775,,,,does,X secretion,reactive oxygen species,,,,,,,,,,"NADPH oxidase respiratory burst generating superoxide, hydrogen peroxide and hypochlorite; absent in chronic granulomatous disease",minutes,,intra-organ,complete blood count with differential,CBC panel - Blood by Automated count,LOINC:58410-2,C-reactive protein,C reactive protein [Mass/volume] in Serum or Plasma,LOINC:1988-5,,,,,,,inflammatory response,inflammatory response,GO:0006954,complement activation,complement activation,GO:0006956,adaptive immunity,adaptive immune response,GO:0002250,,,,"Cellular & Molecular Immunology, 11th Edition (2023)",9780443283581,"2, 4",,,,,,,,,,,,,,,,,,,,,,,
