Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,"three-layer barrier: fenestrated endothelium, glomerular basement membrane, podocyte slit diaphragm; free filtration below ~10 kDa",Podocyte slit diaphragm completes the size- and charge-selective barrier that filters plasma water and solutes into Bowman space,cell,renal glomerulus,renal glomerulus,UBERON:0000074,podocyte,podocyte,CL:0000653,,,,does,transport of X from Y to Z,plasma ultrafiltrate,,,glomerular capillary,,,Bowman's space,,,"[90, 140]",units = mL/min/1.73m2; ~180 L/day filtered; filtration is size- and charge-selective,seconds,,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Fixed anionic charge of the filtration barrier restricts filtration of albumin and other polyanions,cell,renal glomerulus,renal glomerulus,UBERON:0000074,podocyte,podocyte,CL:0000653,anionic glomerular basement membrane charge,,,decreases,transport of X from Y to Z,albumin,,,glomerular capillary,,,Bowman's space,,,,urine protein normally <150 mg/day; albumin <30 mg/day,seconds,intra-organ,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Fenestrated glomerular endothelium permits bulk water and solute flux while excluding blood cells,cell,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular endothelial cell,glomerular endothelial cell,CL:0002188,,,,does,transport of X from Y to Z,plasma water,,,glomerular capillary,,,Bowman's space,,,,fenestrae ~70-100 nm; excludes cellular elements,seconds,,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Glomerular capillary hydrostatic pressure is the principal driving force for filtration,tissue,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular capillary,,,glomerular capillary hydrostatic pressure,,,increases,transport of X from Y to Z,plasma ultrafiltrate,,,glomerular capillary,,,Bowman's space,,,,P_GC ~ 45-50 mmHg; GFR = Kf[(P_GC - P_BS) - (pi_GC - pi_BS)],seconds,circulatory,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Bowman space hydrostatic pressure opposes filtration,tissue,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular capillary,,,Bowman's space hydrostatic pressure,,,decreases,transport of X from Y to Z,plasma ultrafiltrate,,,glomerular capillary,,,Bowman's space,,,,P_BS ~ 10-15 mmHg; rises with ureteral obstruction,seconds,intra-organ,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Rising plasma oncotic pressure along the glomerular capillary progressively opposes filtration,tissue,renal glomerulus,renal glomerulus,UBERON:0000074,glomerular capillary,,,glomerular capillary oncotic pressure,,,decreases,transport of X from Y to Z,plasma ultrafiltrate,,,glomerular capillary,,,Bowman's space,,,,pi_GC rises from ~25 to ~35 mmHg along the capillary as filtration proceeds,seconds,circulatory,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,mesangial tone sets the filtration coefficient Kf by varying available capillary surface area,Mesangial cells contract to reduce glomerular capillary surface area available for filtration,cell,renal glomerulus,renal glomerulus,UBERON:0000074,mesangial cell,,,,,,does,contraction,,,,,,,,,,,,seconds-minutes,,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,"Angiotensin II increases mesangial contraction, lowering Kf and GFR",cell,renal glomerulus,renal glomerulus,UBERON:0000074,mesangial cell,,,angiotensin II,,,increases,contraction X,force,,,,,,,,,,,seconds-minutes,circulatory,intra-organ,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
urinary system,renal system process,GO:0003014,homeostasis,homeostatic process,GO:0042592,fluid and electrolyte homeostasis,regulation of body fluid levels,GO:0050878,glomerular filtration,glomerular filtration,GO:0003094,,,,,,,,,,,,,,Approximately one-fifth of renal plasma flow is filtered at the glomerulus per pass,organ,kidney,kidney,UBERON:0002113,kidney,,,,,,does,transport of X from Y to Z,plasma,,,renal plasma flow,,,glomerular filtrate,,,"[0.16, 0.22]","filtration fraction = GFR / RPF, approximately 20%",seconds,,circulatory,glomerular filtration rate,,,plasma creatinine,,,urine protein,,,plasma osmolality,Osmolality of Serum or Plasma,LOINC:2692-2,renal blood flow,,,RAAS activation,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,GO:0001991,tubuloglomerular feedback,negative regulation of glomerular filtration,GO:0003105,,,,"Mulroney & Myers, Netter's Essential Physiology",ISBN 978-0-323-69463-8,17,,,,,,,,,,,,,,,,,,,,,,,
