Whole Person Physiome Table for Endocrine System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jacob C. Scherba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,insulin promotes glycogen storage and glucose uptake; receptor tyrosin kinase; promotes translocation of GLUT4 in skeletal muscle and adipocytes,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,,does,X secretion,insulin,,,"[3, 8]","units = µU/mL, Target is [50, 150] 2 hours after a mixed meal",minutes-hours,,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,glucose,increases,X secretion,insulin,,,,,minutes-hours,systemic,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,somatostatin,decreases,X secretion,insulin,,,,,minutes-hours,paracrine,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,fed status,increases,X secretion,insulin,,,,,minutes-hours,systemic,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,fed status,decreases,X secretion,glucagon,,,,,minutes-hours,systemic,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,pancreatic polypeptide,decreases,X secretion,insulin,,,,,minutes-hours,paracrine,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,glucose,increases,X secretion,C-peptide,,,,,minutes-hours,systemic,paracrine,plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,beta cell,type B cell of pancreas,CL:0000169,insulin,increases,X secretion,amylin,,,,,minutes-hours,autocrine,"paracrine, circulatory",plasma insulin,Insulin [Mass/volume] in Serum or Plasma,3695-4,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,insulin production,insulin secretion,GO:0030073,,,,,,,,,,,,,,,organism,endocrine system,endocrine system,UBERON:0000949,endocrine system,endocrine system,UBERON:0000949,glucose,increases,transition to X,fed status,,,,,minutes-hours,systemic,systemic,,,,,,,,,,,,,glucose import in response to insulin stimulus,glucose import in response to insulin stimulus,GO:0044381,glucagon production,glucagon secretion,GO:0070091,lipid synthesis process,lipid biosynthetic process,GO:0008610,glycogen biosynthetic process,glycogen biosynthetic process,GO:0005978,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,somatostatin production,somatostatin secretion,GO:0070253,,,,,,,,,,,,,,somatostatin is produced by delta cells to inhibit both glucagon and insulin secretion,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,delta cell,pancreatic D cell,CL:0000173,,does,X secretion,somatostatin,,,"[0, 30]",units = pg/mL,minutes-hours,,"paracrine, circulatory",plasma somatostatin,Somatostatin [Mass/volume] in Plasma,2961-1,,,,,,,,,,glucagon production,glucagon secretion,GO:0070091,insulin production,insulin secretion,GO:0030073,,,,,,,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
