Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,breast,breast,UBERON:0000310,mammary gland connective tissue,UBERON:0003584,,,,,,,,,,,,,,,,,,,,,,,,
female reproductive system,adipose tissue,adipose tissue,UBERON:0001013,white adipose tissue,UBERON:0001347,,,,,,,,,,,,,,,,,,,,leptin secretion@nan,,,,
female reproductive system,ovary,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,,,,,,,,,,,,,,,,,,,,,,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,,,folliculogenesis@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,,,,,,,,,,,,,,,,,,,,,folliculogenesis@ovarian follicle SECRETES estradiol,,,
female reproductive system,pituitary gland,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,,,ovulation@anterior pituitary SECRETES luteinizing hormone,,,,
female reproductive system,ovary,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,,,,,,,,,,,,,,,,,,,,ovulation@ovarian follicle RELEASES oocyte,,,,
female reproductive system,ovary,ovary,UBERON:0000992,corpus luteum,UBERON:0002512,,,,,,,,,,,,,,,,,,,,luteal phase@corpus luteum SECRETES progesterone,,,,
female reproductive system,placenta,placenta,UBERON:0001987,,,,,,,,,,,,,,,placental villous trophoblast,CL:2000060,,,,,,,formation of corpus luteum@placenta SECRETES beta hcg,,,
female reproductive system,ovary,ovary,UBERON:0000992,corpus luteum,UBERON:0002512,,,,,,,,,,,,,,,,,,,,,atresia of corpus luteum@nan,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,,,,,,,,,,,,,,,,,,,,,,,menstruation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,,,,,,,,,,,,,,,,,,,,,endometrial proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,,,,,endometrial differentiation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,,,,,,,,,,,,,,,oocyte,CL:0000023,,,,,,,oocyte maturation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,,,,,,,,,,,,,,,theca cell,CL:0000503,,,,,,,theca cell proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,,,,,,,,,,,,,,,granulosa cell,CL:0000501,,,,,,,granulosa cell proliferation@nan,,,
female reproductive system,ovary,ovary,UBERON:0000992,tertiary ovarian follicle,UBERON:0000037,,,,,,,,,,,,,,,,,,,,,fluid formation@nan,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,,,,,,,,,,,,,,,,,,,innervation@sacral plexus INNERVATES clitoris,,,,,,,
female reproductive system,clitoris,clitoris,UBERON:0002411,corpus cavernosum clitoridis,UBERON:0006608,,,,,,,,,,,,,,,,,,innervation@cavernous nerve of clitoris INNERVATES corpus cavernosum,,,,,,
female reproductive system,cavernosal artery,dorsal artery of clitoris,UBERON:0008323,,,,,,,,,,,,,,,,,,,,innervation@cavernosal artery SUPPLIES corpus cavernosum,,,,,,
female reproductive system,cavernosal vein,deep dorsal vein of clitoris,UBERON:0006690,,,,,,,,,,,,,,,,,,,,innervation@cavernosal vein DRAINS corpus cavernosum,,,,,,
female reproductive system,bartholin's gland,major vestibular gland,UBERON:0000460,,,,,,,,,,,,,,,,,,,,lubrication@bartholin gland SECRETES fluid,,,,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,,,,,,,,,,,,,,,,,,,innervation@sacral plexus INNERVATES bartholin gland,,,,,,,
female reproductive system,sacral plexus,sacral nerve plexus,UBERON:0034986,,,,,,,,,,,,,,,,,,,reflex afferent@sacral spinal nerve SENSES clitoris,,,,,,,
female reproductive system,skeletal muscle,skeletal muscle tissue,UBERON:0001134,UBERON:0002379,NAN,,,,,,,,,,,,,,,,,,reflex efferent@motor pudendal nerve INNERVATES perineal muscle,,,,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,,,,,,,,,,,,,,,,,,,,cervical dilation@nan,,,,,,
female reproductive system,uterus,uterus,UBERON: 0000995,,,,,,,,,,,,,,,,,,,,uterine contraction@oxytocin INCREASES uterine contraction,,,,,,
female reproductive system,pituitary,pituitary gland,UBERON:0000007,neurohypophysis,UBERON:0002198,,,,,,,,,,,,,,,,,,oxytocin release@nan,,,,,,
female reproductive system,pituitary,pituitary gland,UBERON:0000007,neurohypophysis,UBERON:0002198,,,,,,,,,,,,,,,,,,degeneration of primary follicles@nan,,,,,,
female reproductive system,pituitary,pituitary gland,UBERON:0000007,adenohypophysis,UBERON:0002196,,,,,,,,,,,,,,,,,,menopause@estradiol DECREASES [anterior pituitary hormone] secretion,,,,,,
