Human Organ System,Major Organs,Lowest Structure ASCTB Matched,Lowest ID ASCTB Matched,Lowest Type ASCTB Matched,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
female reproductive system,pituitary,,,Unknown,,degeneration of primary follicles@nan,,,,,,
female reproductive system,pituitary,,,Unknown,,menopause@estradiol DECREASES [anterior pituitary hormone] secretion,,,,,,
female reproductive system,fallopian tube,fimbriae of fallopian tube,UBERON:8410010,AS,,,ovulation@ovarian fimbriae TRANSPORT oocyte FROM ovary TO fallopian tube,,,,,
female reproductive system,fallopian tube,oviduct epithelium,UBERON:0004804,AS,,,ovulation@ovarian fimbriae TRANSPORT oocyte FROM ovary TO fallopian tube,,,,,
female reproductive system,fallopian tube,ampulla of fallopian tube,UBERON:0012648,AS,,,fertilization@nan,,,,,
female reproductive system,fallopian tube,ampulla of fallopian tube,UBERON:0012648,AS,,,morulation@nan,,,,,
female reproductive system,blastocyst,,,Unknown,,,implantation@nan,,,,,
female reproductive system,endometrium,stromal cell of endometrium,CL:0002255,CT,,,,,decidualization@nan,,,
female reproductive system,endometrium,endometrium,UBERON:0001295,AS,,,,,endometrial secretions@endometrium SECRETES progesterone AND estrogen,,,
female reproductive system,trophoblast,,,Unknown,,,,,beta hcg secretion@trophoblast SECRETES beta hcg,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,,,formation of syncytiotrophoblast@nan,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,,,formation of cytotrophoblast@nan,,,
female reproductive system,placenta,erythrocyte,CL:0000232,CT,,,,,invasion@nan,,,
female reproductive system,blood,blood,UBERON:0000178,AS,,,,,,,,
female reproductive system,heart,heart left ventricle,UBERON:0002084,AS,,,,,,,,
female reproductive system,lung,alveolus of lung,UBERON:0002299,FTU,,,,,,,,
female reproductive system,uterus,myometrium,UBERON:0001296,AS,,,,,,,,
female reproductive system,uterus,myometrium,UBERON:0001296,AS,,,,,activation stage@nan,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,AS,,,,,activation stage@nan,,,
female reproductive system,uterus,myometrium,UBERON:0001296,AS,,,,uterine contraction@oxytocin INCREASES uterine contraction,,,,
female reproductive system,cervix,uterine cervix,UBERON:0000002,AS,,,,cervical dilation@uterine contraction INCREASES cervical dilation,,,,
female reproductive system,placenta,uterine spiral artery,UBERON:0015171,AS,,,vasoconstriction@uterine contraction INCREASES spiral artery vasoconstriction,,,,,
female reproductive system,placenta,placenta,UBERON:0001987,AS,,,placenta delivery@uterine contraction TRANSPORTS placenta FROM uterus TO vagina,,,,,
female reproductive system,breast,mammary gland,UBERON:0001911,AS,,,milk production@prolactin INCREASES milk production,,,,,
female reproductive system,breast,,,Unknown,,,prolactin secretion@nipple stimulation INCREASES prolactin secretion,,,,,
female reproductive system,hypothalamus,hypothalamus,UBERON:0001898,AS,,spinal cord reflex@nipple stimulation DECREASES dopaminergic hypothalamic signaling,,,,,,
female reproductive system,breast,mammary gland,UBERON:0001911,AS,,,milk letdown@oxytocin INCREASES milk letdown,,,,,
female reproductive system,pituitary,,,Unknown,,reflex@nan,,,,,,
female reproductive system,breast,,,Unknown,,mammary duct contraction@oxytocin INCREASES smooth muscle contraction,,,,,,
female reproductive system,breast,,,Unknown,,,ovarian cycle inhibition@nursing DECREASES gnrh secretion,,,,,
