Human Organ System,Major Organs,Structure_1_Label,Structure_1_ID,Structure_2_Label,Structure_2_ID,Structure_3_Label,Structure_3_ID,Structure_4_Label,Structure_4_ID,Structure_5_Label,Structure_5_ID,Structure_6_Label,Structure_6_ID,Structure_7_Label,Structure_7_ID,Structure_8_Label,Structure_8_ID,Cell_1_Label,Cell_1_ID,Cell_2_Label,Cell_2_ID,<1 second,1s - < 1min,1min - < 1hr,1hr - < 1day,1day - < 1week,1 week - < 1 year,1 year or longer,Unkown
male reproductive system,ejactulatory duct smooth muscle,smooth muscle tissue layer of ejaculatory duct,UBERON:0015717,,,,,,,,,,,,,,,,,,,,ejaculatory duct contraction@nan,,,,,,
male reproductive system,sensory pudendal nerve,pudendal nerve,UBERON:0011390,,,,,,,,,,,,,,,,,,,sexual sensation@nan,,,,,,,
male reproductive system,motor pudendal nerve,pudendal nerve,UBERON:0011390,,,,,,,,,,,,,,,,,,,penile innervation@motor pudendal nerve INNERVATES striated bulbospongiosus,,,,,,,
male reproductive system,corpus cavernosum,corpus cavernosum penis,UBERON:0004713,,,,,,,,,,,,,,,,,,,,corpus cavernosa relaxation@nan,,,,,,
male reproductive system,cavernosal artery,deep artery of penis,UBERON:0008321,,,,,,,,,,,,,,,,,,,,corpus cavernosum filling@cavernosal artery SUPPLIES corpus cavernosum,,,,,,
male reproductive system,corpus spongiosum,corpus spongiosum of penis,UBERON:0011183,,,,,,,,,,,,,,,,,,,,corpus spongiosum dilation@nan,,,,,,
male reproductive system,perineal artery,perineal artery,UBERON:0001358,,,,,,,,,,,,,,,,,,,,corpus spongiosum filling@perineal artery SUPPLIES corpus spongiosum,,,,,,
male reproductive system,deep dorsal vein,deep dorsal vein of penis,UBERON:0006656,,,,,,,,,,,,,,,,,,,,corpus cavernosum draining@deep dorsal vein DRAINS corpus cavernosum,,,,,,
male reproductive system,perineal vein,perineal vein,UBERON:0001362,,,,,,,,,,,,,,,,,,,,corpus spongiosum draining@perineal vein DRAINS corpus spongiosum,,,,,,
male reproductive system,motor pudendal nerve,pudendal nerve,UBERON:0011390,,,,,,,,,,,,,,,,,,,,somatic innervation@motor pudendal nerve INNERVATES striated bulbospongiosus,,,,,,
male reproductive system,autonomic nerve,autonomic nerve,UBERON:0034728,hypogastric nerve,UBERON:0005303,,,,,,,,,,,,,,,,,,,,,,,,
male reproductive system,epididymis smooth muscle,epididymis smooth muscle,UBERON:0004835,,,,,,,,,,,,,,,,,,,,contraction of ejaculatory apparatus@nan,,,,,,
male reproductive system,vas deferens smooth muscle,muscular coat of vas deferens,UBERON:0004224,,,,,,,,,,,,,,,,,,,,contraction of ejaculatory apparatus@nan,,,,,,
male reproductive system,prostatic urethra,prostatic urethra,UBERON:0001335,male urethra,UBERON:0001333,,,,,,,,,,,,,,,,,,emission@seminal plasma MOVES FROM prostatic urethra TO penile urethra,,,,,,
male reproductive system,thoracic sympathetic nerve,thoracic sympathetic nerve trunk,UBERON:0004863,,,,,,,,,,,,,,,,,,,sympathetic innervation@thoracic sympathetic nerve INNERVATES internal urethral sphincter,,,,,,,
male reproductive system,internal urinary sphincter of the bladder,internal urethral sphincter,UBERON:0004918,,,,,,,,,,,,,,,,,,,constriction of urinary sphincter@nan,,,,,,,
male reproductive system,sacral nerve,sacral nerve plexus,UBERON:0034986,,,,,,,,,,,,,,,,,,,reflex afferent@sacral spinal nerve SENSES penile urethra,,,,,,,
male reproductive system,motor pudendal nerve,pudendal nerve,UBERON:0011390,,,,,,,,,,,,,,,,,,,reflex efferent@motor pudendal nerve INNERVATES ischiocavernosus AND bulbospongiosus,,,,,,,
male reproductive system,ischiocavernosus,ischiocavernosus muscle,UBERON:0001339,,,,,,,,,,,,,,,,,,,,ischiocavernosus contraction@nan,,,,,,
male reproductive system,bulbospongiosus,male bulbospongiosus muscle,UBERON:0011388,,,,,,,,,,,,,,,,,,,,bulbospongiosus contraction@nan,,,,,,
male reproductive system,penile urethra,male urethra,UBERON:0001333,male urethral meatus,UBERON:0012241,,,,,,,,,,,,,,,,,,emission of semen from penile urethra@semen MOVES FROM penile urethra TO urethral meatus,,,,,,
